campaign_id,job_role,attempt_id,scope,rss_scope,maximum_rss_bytes,path,system_seconds,user_seconds,wall_seconds,profile,run_id,shared_once_across_this_application
v3-main-771601/deathstarbench_social_network/colocated/NC/5,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",218632192.0,build-resource-usage.txt,0.17,2.96,2.99,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/5,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109244416.0,replay-resource-usage.txt,0.08,1.4,0.91,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/6,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",602738688.0,acquisition-resource-usage.txt,98.91,246.82,2072.05,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/6,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52338688.0,logs/compose-down.log.resource-usage.txt,0.02,0.11,11.19,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/6,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",54550528.0,logs/services.log.resource-usage.txt,0.05,0.12,0.14,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/6,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51621888.0,pull-resource-usage.txt,0.04,0.13,18.67,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/6,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",55037952.0,start-resource-usage.txt,0.03,0.13,8.01,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/6,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",219459584.0,build-resource-usage.txt,0.14,3.13,3.75,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/6,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109424640.0,replay-resource-usage.txt,0.06,1.51,0.95,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/7,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",604565504.0,acquisition-resource-usage.txt,93.59,203.93,2071.54,,,
